product_id,product_name,product_type,min_age,max_age,min_coverage,max_coverage,premium_paying_term_min,premium_paying_term_max,key_benefit,benefit_2,benefit_3,risk_profile,base_premium_rate
LIC-TL-100,SecureShield Term Plan,Term Life,18,65,500000,50000000,1,40,High sum assured at extremely low cost,Accidental Death Rider option,Option to increase coverage on life milestones,Low,1.1
LIC-WL-101,LifeLong Prosperity Plan,Whole Life,18,60,250000,30000000,5,30,Guaranteed lifetime coverage up to age 100,Cash value accumulation with guaranteed additions,Survival payout options after age 80,Low,12.0
LIC-E-102,Wealth Builder Endowment,Endowment,12,55,100000,20000000,5,25,Guaranteed maturity lump sum + accumulated bonuses,Life cover during the policy term,Critical illness rider add-on,Medium,35.0
LIC-MB-103,Milestone MoneyBack,Money Back,15,50,150000,15000000,10,25,Regular survival payouts at predefined policy intervals,Maturity payout of remaining sum assured with bonus,Guaranteed additions in first 5 years,Medium,45.0
LIC-U-104,Wealth Maxima ULIP,ULIP,8,55,500000,50000000,5,20,Dual benefit of life protection and equity/debt market growth,Choice of 7+ investment funds ranging from debt to high equity,Partial withdrawal facility after 5 years lock-in,High,15.0
LIC-R&P-105,Golden Years Pension Plan,Retirement & Pension,30,70,500000,40000000,1,30,Guaranteed annuity payouts for lifetime after retirement,Option for joint life annuity (spouse gets pension),Critical illness cover during accumulation phase,Low,23.0
LIC-CP-106,Bright Future Child Plan,Child Plan,0,18,200000,25000000,5,20,Premium Waiver Benefit ensures child's future even in absence of parent,Milestone cash payouts for higher education expenses,Flexible payout options (lump sum or instalments),Low,25.0
LIC-TL-107,Cancer Shield Term,Term Life,18,60,300000,15000000,5,20,Lump sum payout on diagnosis of specified critical illnesses,Inbuilt term life protection cover,Second medical opinion from global specialists,Low,5.0
LIC-TL-108,Elite Term Life,Term Life,20,60,750000,40000000,3,35,High sum assured at extremely low cost,Critical Illness Rider option,Special discount for non-smokers,Low,1.44
LIC-WL-109,Legacy Whole Life Safeguard,Whole Life,20,55,375000,24000000,7,25,Guaranteed lifetime coverage up to age 100,Loan facility up to 90% of surrender value,Tax benefits under local laws,Low,13.6
LIC-E-110,Future Growth Endowment Plan,Endowment,18,50,150000,16000000,7,20,Guaranteed maturity lump sum + accumulated bonuses,Compounded reversionary bonuses,Tax-exempt payouts at maturity,Medium,38.0
