Age,q_x
1,
2,0.000915
3,0.00047
4,0.000271
5,0.000185
6,0.000152
7,0.000149
8,0.000167
9,0.000206
10,0.000265
11,0.000341
12,0.000429
13,0.000522
14,0.000614
15,0.000698
16,0.00077
17,0.000829
18,0.000874
19,0.000905
20,0.000924
21,0.000934
22,0.000937
23,0.000936
24,0.000933
25,0.000931
26,0.000931
27,0.000934
28,0.000942
29,0.000956
30,0.000977
31,0.001005
32,0.001042
33,0.001086
34,0.00114
35,0.001202
36,0.001275
37,0.001358
38,0.001453
39,0.00156
40,0.00168
41,0.001815
42,0.001969
43,0.002144
44,0.002345
45,0.002579
46,0.002851
47,0.003168
48,0.003536
49,0.003958
50,0.004436
51,0.004969
52,0.00555
53,0.006174
54,0.006831
55,0.007513
56,0.008212
57,0.008925
58,0.009651
59,0.010393
60,0.011162
61,0.011969
62,0.012831
63,0.013765
64,0.014792
65,0.015932
66,0.017206
67,0.018635
68,0.02024
69,0.02204
70,0.024058
71,0.026314
72,0.028832
73,0.031638
74,0.034757
75,0.038221
76,0.042061
77,0.046316
78,0.051024
79,0.056231
80,0.061985
81,0.068338
82,0.07535
83,0.083082
84,0.091601
85,0.100979
86,0.111291
87,0.122616
88,0.135037
89,0.148639
90,0.163507
91,0.179726
92,0.19738
93,0.216547
94,0.237302
95,0.259706
96,0.283813
97,0.309659
98,0.337265
99,0.36663
100,0.397733
101,0.430529
102,0.46495
103,0.500904
104,0.538278
105,0.576942
106,0.616752
107,0.657553
108,0.699191
109,0.741515
110,0.784383
111,0.827673
112,0.871285
113,0.915145
114,0.959214
115,1
